A1.1,A1.2,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32
American,US/Canada,Male,Graduate school and higher,Both,26,Hispanic or Latino,"Single, never married",Self-employed,Yes,More than a month,Very worried,3,4,4,2,5,2,5,4,4,4,4,3,4,3,5,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,3-4 hours,2. Almost everyday,Catching bugs,Relaxing,2,3,3,2,3,4,3,4,4,2,2,3,3,3,3,3,3,3,3,2,3,3,4,4,4,3,3,4,5,4,4,4,3,5,1,2,1,5,1,5,2,5,5,1,5,5,5,5,5,1,1,1,5,2,5,5,1,5,2,2
Chinese,Asia,Male,Graduate school and higher,None,26,Asian,"Single, never married",Employed for wages,Yes,More than a month,Worried,4,3,4,3,5,3,5,4,3,4,4,5,4,4,4,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Every week,2-3 hours,1. Everyday,Decorating/Coming up with new ideas,Mix between modern and natural,2,2,2,3,3,5,5,3,5,4,1,4,1,3,2,3,2,1,2,3,4,2,1,1,3,4,2,1,4,4,3,4,4,4,1,3,2,3,2,4,4,4,3,2,3,4,5,4,5,2,3,2,5,3,4,4,4,3,4,4
usa,US/Canada,Male,Graduate school and higher,Both,26,Asian,Married or domestic partnership,Employed for wages,Yes,More than 3 weeks,Worried,4,2,5,2,3,2,3,2,4,1,4,3,4,1,4,NA,NA,Almost everyday,3-4 hours,2. Almost everyday,Planting trees/flowers,jungle,3,3,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,4,4,4,4,3,4,5,4,4,3,3,4,5,5,4,3,3,4,5,4,4,4,3,4,5,5,4,3,4,4,5,4,3
American,US/Canada,Female,Undergraduate school,A pet,26,White,"Single, never married",Employed for wages,Yes,More than a month,Worried,5,3,4,3,5,3,5,5,5,5,5,5,4,4,5,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,5-7 hours,1. Everyday,Terraforming,I don’t know what this is asking,3,3,2,3,2,5,5,5,3,4,1,4,1,3,2,3,2,1,2,2,1,1,1,1,4,2,2,3,5,4,3,5,5,5,1,2,1,5,1,5,3,5,5,2,5,5,5,5,4,1,1,1,3,2,4,5,1,4,3,1
Vietnam,Asia,Male,Undergraduate school,Both,26,Asian,Married or domestic partnership,Employed for wages,Yes,More than a month,Very worried,5,2,3,2,5,2,4,1,3,1,4,1,5,2,4,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,2-3 hours,1. Everyday,Catching bugs,na,3,4,3,4,3,4,3,4,5,4,3,4,4,3,3,4,3,2,3,3,4,3,4,2,3,4,3,4,5,4,3,4,5,4,4,3,5,4,3,4,5,5,3,5,5,4,5,4,4,3,4,5,4,5,5,5,4,4,5,4
U.S.,US/Canada,Male,Undergraduate school,A garden,26,White,"Single, never married",Employed for wages,No,More than 2 weeks,Worried,4,2,3,2,3,3,4,3,3,2,2,3,4,2,5,More than 3 years,"Action, RPG, Strategy",Almost every week,2-3 hours,5. Every month,Planting trees/flowers,Discovering new species,3,3,2,2,2,3,2,3,4,3,2,2,3,2,2,3,2,2,2,2,3,3,3,2,2,2,2,3,4,4,3,5,4,4,2,2,1,4,3,4,5,4,3,2,4,4,4,5,4,2,2,1,2,5,4,3,1,4,3,4
America,US/Canada,Male,Undergraduate school,A garden,26,Hispanic or Latino,"Single, never married",Out of work but not currently looking for work,No,More than 2 weeks,Worried,4,3,2,2,3,2,3,2,2,3,3,2,5,2,3,1-2 years,"Adventure, RPG, Simulation, Strategy",Almost every week,3-4 hours,4. Almost every week,Catching bugs,Finding villagers,1,3,2,3,2,4,4,3,2,2,3,1,4,4,2,3,4,1,4,3,2,2,4,2,3,4,2,2,3,4,2,3,3,4,5,3,2,4,5,4,2,4,4,2,4,4,4,3,2,1,4,2,2,5,4,4,2,1,3,4
America,US/Canada,Female,Undergraduate school,A garden,26,Native American or American Indian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Very worried,4,1,4,2,3,1,4,2,5,2,3,3,5,1,5,1-2 years,"RPG, Simulation, Sports",Every week,2-3 hours,4. Almost every week,Planting trees/flowers,Discovering new species,3,2,2,3,4,4,4,5,5,3,2,1,3,4,4,4,1,1,2,3,4,3,4,1,4,4,3,3,4,3,3,2,2,3,3,4,3,2,2,3,4,3,4,2,3,3,3,4,2,2,1,1,3,3,2,4,1,4,5,2
USA,US/Canada,Female,High school,Both,26,White,Married or domestic partnership,Out of work and looking for work,Yes,More than 2 weeks,Worried,4,3,2,1,4,2,3,3,2,3,1,2,3,3,4,More than 3 years,"Simulation, Strategy",Almost everyday,1-2 hours,1. Everyday,Fishing,fishing,2,4,3,2,3,4,4,2,4,3,2,3,2,3,2,3,2,1,4,3,3,1,3,2,2,2,3,2,4,3,5,4,3,4,5,3,4,3,3,3,5,4,3,3,3,3,3,3,2,4,5,3,2,5,4,4,3,2,3,4
America,US/Canada,Male,Undergraduate school,A pet,26,Native American or American Indian,"Single, never married",Out of work and looking for work,No,No self-isolation/social distancing,Worried,4,2,3,2,5,2,4,1,4,3,4,1,5,2,4,1-2 years,"Adventure, RPG, Strategy, Sports",Almost everyday,1-2 hours,4. Almost every week,Terraforming,magic world,2,3,4,4,4,4,3,2,3,2,3,1,2,3,3,3,2,2,3,2,3,2,4,4,3,2,3,3,4,3,4,5,2,3,2,3,4,3,2,3,2,3,4,2,2,3,4,3,2,2,3,1,1,1,3,3,2,4,2,1
Vietnam,Asia,Male,Undergraduate school,A pet,26,Asian,Married or domestic partnership,Employed for wages,Yes,More than 2 weeks,Worried,3,1,5,4,5,3,4,2,5,5,5,4,5,1,4,More than 3 years,"Action, Adventure, Strategy, Sports",Every week,2-3 hours,3. Every week,Terraforming,swamp,3,4,2,4,3,5,5,5,5,3,2,2,3,4,4,3,1,2,2,4,4,2,3,1,3,4,4,4,5,5,4,4,5,5,2,3,1,5,4,4,3,5,4,2,4,5,5,5,5,2,1,1,4,5,4,5,1,4,1,4
usa,US/Canada,Male,Graduate school and higher,Both,26,White,Married or domestic partnership,Employed for wages,Yes,More than a week,Worried,4,1,5,2,3,2,4,1,4,3,4,2,3,2,5,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3-4 hours,3. Every week,Catching bugs,jungle,3,3,3,4,3,4,3,4,4,4,4,3,3,4,3,3,3,4,3,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,3,3,4,4,4,5,5,5,4,3,4,4,4,3,4,5,4,4,3,3,3,4,5,5
us,US/Canada,Female,Undergraduate school,A garden,26,White,Married or domestic partnership,Employed for wages,Yes,More than a month,Worried,4,2,4,3,4,2,3,3,5,4,2,4,3,4,4,2-3 years,"Adventure, Simulation, Sports",Almost everyday,3-4 hours,3. Every week,Fishing,naturally,2,4,3,3,2,5,4,4,4,2,3,1,2,2,3,2,2,2,1,3,3,3,2,1,3,3,3,3,4,4,3,3,3,4,4,3,1,4,1,4,4,5,4,1,4,5,5,5,5,2,2,2,1,3,4,4,2,4,2,2
American,US/Canada,Female,High school,Both,26,Hispanic or Latino,Married or domestic partnership,Self-employed,Yes,More than a month,Worried,3,2,5,1,4,2,5,2,5,5,3,4,5,1,4,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1-2 hours,1. Everyday,Interior Design,Natural/outdoor look,3,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,2,3,4,4,4,4,4,5,5,5,5,5,1,2,1,5,2,5,4,5,5,1,5,5,5,4,5,1,1,1,2,3,5,5,2,5,4,1
US,US/Canada,Female,Graduate school and higher,A garden,26,White,"Single, never married",Employed for wages,No,No self-isolation/social distancing,A little,3,2,2,3,2,3,4,3,4,4,3,4,3,5,2,0-1 years,RPG,Every week,2-3 hours,6. Less than every month,Planting trees/flowers,no,2,3,4,2,2,3,2,4,4,3,2,1,3,4,3,2,1,1,2,3,2,2,3,1,2,3,4,3,4,3,3,4,3,4,3,3,2,3,2,3,3,4,3,3,4,3,3,4,2,2,1,2,3,2,3,2,3,4,1,2
american,US/Canada,Female,High school,A pet,26,White,"Single, never married",Employed for wages,Yes,More than a month,A little,4,3,5,4,5,1,5,3,5,5,3,5,5,2,5,More than 3 years,"RPG, Simulation, Strategy",Almost everyday,3-4 hours,2. Almost everyday,Planting trees/flowers,natural,3,2,4,3,3,4,4,4,4,4,1,4,1,3,1,2,2,3,2,4,3,4,2,3,3,3,3,3,3,4,4,5,5,5,2,3,2,5,1,5,4,4,4,2,4,5,5,5,3,4,1,1,4,1,5,5,3,5,4,1
British,EU,Female,Undergraduate school,Both,26,White,Married or domestic partnership,Employed for wages,Yes,More than a month,A little,4,3,5,4,5,2,4,4,4,5,4,5,4,4,5,More than 3 years,"Action, Adventure, RPG",Almost everyday,3-4 hours,2. Almost everyday,Varies on a day to day basis,My own style,4,4,2,4,3,4,4,3,3,4,2,4,1,2,2,3,3,2,4,3,3,1,1,3,4,2,3,4,5,5,5,5,5,5,1,1,1,5,1,5,3,5,5,1,5,5,5,5,5,1,1,1,3,5,5,5,1,5,3,1
Scottish,EU,Female,Undergraduate school,Both,26,White,Married or domestic partnership,Employed for wages,Yes,More than a month,Worried,4,4,5,2,5,1,4,3,5,4,2,4,3,4,5,More than 3 years,"Simulation, Strategy",Everyday,2-3 hours,1. Everyday,Planting trees/flowers,I have not unlocked terraforming yet,4,4,4,1,3,5,5,4,4,4,1,4,3,3,3,4,3,2,1,4,3,1,2,3,4,4,4,4,5,4,5,5,4,5,1,2,4,4,1,5,3,5,4,2,5,5,5,5,4,1,1,1,3,4,4,4,2,5,4,1
British,EU,Female,Undergraduate school,Both,26,White,"Single, never married",Employed for wages,Yes,More than a month,Worried,5,4,5,3,5,2,5,5,2,5,5,5,5,5,5,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,2-3 hours,1. Everyday,Planting trees/flowers,Naturalistic does not too much terraforming,4,4,4,3,3,5,5,5,5,4,2,4,1,2,3,2,2,3,4,3,4,2,2,1,3,4,2,2,5,4,5,5,5,5,2,2,2,4,1,5,4,4,4,2,5,3,4,5,5,2,1,1,5,3,5,4,2,4,3,1
Filipino,Asia,Male,Graduate school and higher,A pet,26,Asian,"Single, never married",Employed for wages,Yes,More than a month,Very worried,1,3,1,1,4,4,5,5,5,5,5,5,5,3,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,More than 6 hours,1. Everyday,Decorating my island,Cottage/ Witchy / Magic,4,4,4,4,4,5,5,5,5,4,2,2,1,1,3,2,2,1,1,4,4,4,4,4,2,2,2,3,5,5,5,5,5,5,1,1,1,5,1,5,3,5,5,1,5,5,5,5,3,1,1,1,5,5,5,5,1,5,1,1
filipino,Asia,Female,Graduate school and higher,Both,26,Asian,"Single, never married",Employed for wages,Yes,More than a month,Very worried,5,1,5,1,5,2,5,1,5,3,4,3,5,2,5,More than 3 years,"RPG, Simulation",Everyday,2-3 hours,1. Everyday,designing recreational spaces,french garden type,3,2,4,4,2,3,4,4,4,3,4,4,2,3,3,3,3,3,3,3,3,4,2,2,2,3,2,2,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,5,5,5,5,3,1,1,1,5,5,5,5,1,5,5,1
USA,US/Canada,Female,Undergraduate school,A pet,26,Asian,"Single, never married",A student,Yes,More than a month,Worried,4,4,5,2,4,3,3,3,4,4,2,4,2,3,4,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,3-4 hours,1. Everyday,Planting trees/flowers,Convenience,4,4,4,3,4,5,5,3,5,4,2,4,1,2,2,4,3,3,2,4,4,3,3,1,3,2,3,4,5,3,4,5,4,5,1,3,2,4,2,5,3,5,3,2,4,3,4,5,4,2,2,2,3,3,5,3,2,5,3,2
Hispanic,EU,Female,Graduate school and higher,Both,26,Hispanic or Latino,"Single, never married",Out of work and looking for work,Yes,More than 3 weeks,Very worried,4,3,5,2,5,2,5,2,5,5,4,5,2,5,5,2-3 years,"Action, Adventure, Simulation, Strategy",Less than every month,2-3 hours,1. Everyday,Shopping and going to other islands,Water,3,3,4,2,3,5,5,5,5,4,1,4,3,3,4,4,4,4,2,4,4,3,2,3,4,3,3,4,4,3,5,5,4,4,2,3,2,3,1,5,4,4,4,3,3,5,5,5,3,2,2,1,5,3,3,4,2,4,4,4
American,US/Canada,Female,High school,A pet,26,Other,"Single, never married",A student,Yes,More than a month,Very worried,5,3,5,5,5,2,4,5,5,5,3,4,5,4,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,5,2. Almost everyday,Planting trees/flowers,Water or cliff,4,4,4,4,3,5,5,5,5,4,3,4,1,3,3,4,4,3,3,4,4,4,4,1,4,4,3,3,5,5,5,5,5,5,1,1,2,5,1,5,4,5,5,2,5,5,5,5,4,2,2,1,5,5,5,5,1,5,2,1
USA,US/Canada,Female,Graduate school and higher,A pet,26,White,Married or domestic partnership,A homemaker,Yes,More than a month,Worried,5,3,5,4,5,2,5,5,5,5,5,5,4,3,5,More than 3 years,"I’m not sure what category, but League of Legends and Fortnite",Everyday,3-4 hours,1. Everyday,Planting trees/flowers,Waterfalls,2,2,4,3,2,5,5,5,5,4,2,4,1,2,3,3,3,1,3,4,4,4,3,3,4,3,2,2,5,5,4,4,4,5,1,3,2,5,2,5,2,5,5,2,5,4,4,5,2,2,1,1,2,2,4,3,2,4,3,2
American,US/Canada,Female,Graduate school and higher,Both,26,White,"Single, never married",Employed for wages,Yes,More than a month,Very worried,2,4,4,2,4,2,4,3,5,5,2,5,3,4,4,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2-3 hours,1. Everyday,Planting trees/flowers,Cottagecore/Cute,3,3,4,4,3,5,5,5,5,4,1,3,3,3,4,4,3,2,3,4,4,3,2,2,3,4,2,3,5,3,4,5,5,5,1,3,2,3,2,5,4,5,4,2,4,4,5,5,5,2,1,1,5,4,5,5,1,4,4,1
American,US/Canada,Female,Graduate school and higher,A garden,26,White,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Worried,3,4,5,3,5,1,5,3,5,5,3,3,5,4,5,More than 3 years,"Adventure, RPG, Strategy",Every week,3-4 hours,1. Everyday,Planting trees/flowers,"I like keeping it as natural and organic looking as possible, so I don't do a lot of terraforming.",4,3,4,2,3,4,4,5,5,4,3,4,1,2,3,3,2,2,2,4,4,4,3,2,3,3,3,4,4,4,5,5,4,5,1,2,2,4,2,5,4,4,4,2,4,4,4,5,4,1,1,1,3,3,3,2,2,2,1,1
American,US/Canada,Female,Undergraduate school,None,26,White,"Single, never married",Unable to work,Yes,More than a month,Worried,4,3,3,3,5,2,5,3,5,5,2,3,3,3,4,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,50,1. Everyday,Decorating my house,Waterfalls,4,3,2,2,4,5,5,3,5,4,1,4,1,3,2,4,3,3,4,2,3,3,3,1,4,2,4,4,5,3,4,5,5,5,1,3,2,5,2,5,3,5,5,3,5,5,5,5,5,3,3,3,4,3,5,4,3,4,3,3
Latina,Other,Female,Undergraduate school,Both,26,Hispanic or Latino,Married or domestic partnership,A homemaker,Yes,More than a month,A little,3,3,4,2,4,2,4,3,4,4,3,4,4,3,4,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,2-3 hours,1. Everyday,Planting trees/flowers,"I don’t have a preference, if I like it, I keep it",4,4,4,3,2,5,5,5,5,4,2,3,3,2,2,3,2,2,3,4,4,4,2,3,3,3,3,3,5,5,5,5,5,5,1,1,1,5,2,5,4,5,5,1,5,5,5,5,3,1,1,1,3,4,5,5,1,5,4,1
American,US/Canada,Female,Graduate school and higher,None,26,White,"Single, never married",Employed for wages,Yes,More than a month,Very worried,3,4,4,2,4,1,4,4,5,4,3,4,5,1,5,0-1 years,"Simulation, Strategy",Every week,6,1. Everyday,Playing with friends,Water building,4,4,3,4,4,5,3,4,5,4,2,4,1,1,2,3,3,3,1,3,4,1,1,3,3,4,2,2,5,5,4,5,4,5,1,3,3,4,2,4,5,5,5,2,5,5,5,5,5,2,1,1,5,5,4,5,3,5,3,2
American,US/Canada,Female,High school,None,26,White,"Single, never married",Employed for wages,No,More than a month,Worried,5,3,5,2,5,3,5,2,5,4,1,5,4,1,5,More than 3 years,Simulation,Every week,3-4 hours,2. Almost everyday,Fishing,River terraforming,4,4,3,3,3,5,5,5,5,4,2,4,2,2,3,3,2,2,4,3,1,3,3,3,4,2,2,3,5,5,4,5,5,5,1,3,2,5,1,5,5,5,5,1,5,5,1,5,4,1,1,1,5,5,5,5,1,5,5,1
Filipino,Asia,Female,Undergraduate school,Both,26,Asian,"Single, never married",Self-employed,Yes,More than a month,A little,5,4,4,4,5,2,5,5,5,5,4,1,2,5,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,10 hours on average,1. Everyday,decorating,Multiple themes to make the island look bigger and more diverse,2,2,4,4,2,5,5,5,5,4,1,4,1,1,4,3,2,4,2,4,4,4,1,1,4,4,1,4,5,5,5,5,5,5,1,1,1,5,1,5,3,5,5,1,5,5,5,5,5,1,3,1,5,5,5,5,1,5,3,5
Filipino,Asia,Female,Undergraduate school,None,26,Asian,"Single, never married",Employed for wages,Yes,More than a month,Very worried,5,4,5,2,5,1,5,4,5,5,4,5,4,2,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1-2 hours,1. Everyday,Terraforming,Zen Garden,4,3,4,4,4,4,4,4,4,4,1,4,2,3,2,4,4,2,3,4,2,1,4,2,4,3,2,4,4,4,1,4,5,4,1,5,1,4,1,5,4,4,4,1,4,5,4,4,5,3,4,1,4,3,5,5,2,4,4,4
British,EU,Female,Undergraduate school,None,26,White,"Single, never married",Employed for wages,Yes,More than a month,Worried,3,2,4,4,4,2,5,4,5,4,4,5,5,2,5,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,2-3 hours,1. Everyday,Terraforming,Natural,3,3,4,4,3,5,5,5,4,4,3,4,1,3,3,4,2,1,3,3,3,4,1,1,4,3,3,3,5,4,5,5,5,5,2,4,2,4,2,5,4,5,5,1,4,5,5,5,5,1,1,1,5,5,5,5,1,4,2,1
American,US/Canada,Female,Undergraduate school,Both,26,White,Married or domestic partnership,Employed for wages,Yes,More than a month,Very worried,1,2,4,2,4,1,5,3,4,5,2,3,3,3,5,More than 3 years,"RPG, Simulation",Every week,3-4 hours,3. Every week,Planting trees/flowers,I don't know what this means,3,3,4,4,2,5,5,5,5,4,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,5,3,5,5,5,5,1,4,2,4,3,5,5,5,5,3,4,4,5,5,5,1,3,1,5,4,5,5,1,5,5,2
Filipino,Asia,Female,Undergraduate school,A pet,26,Asian,"Single, never married",Employed for wages,Yes,More than a month,Very worried,4,4,5,1,5,1,5,4,5,5,4,5,4,3,5,More than 3 years,"Adventure, Simulation",Everyday,2-3 hours,1. Everyday,Fishing,Japanese theme,3,4,2,1,4,5,5,5,5,4,1,4,1,3,2,4,4,4,3,2,2,1,2,1,4,4,4,4,5,4,5,5,4,5,1,4,1,4,1,5,4,5,5,4,4,5,5,5,3,1,1,1,4,4,5,4,1,5,3,1
Filipino,Asia,Female,Undergraduate school,A pet,26,Asian,"Single, never married",Employed for wages,Yes,More than a month,Worried,4,2,2,4,2,1,5,5,4,4,2,4,3,2,5,More than 3 years,"Adventure, RPG, Simulation, Strategy",Every month,2-3 hours,2. Almost everyday,Planting trees/flowers,Japanese/anime town,3,4,3,1,3,4,2,3,4,2,2,4,4,2,2,4,4,4,1,3,3,2,3,4,4,4,3,4,4,4,4,4,4,5,1,1,2,5,1,4,2,5,4,2,4,4,4,4,2,2,3,1,2,3,5,4,2,4,2,2
Filipino,Asia,Female,Graduate school and higher,Both,26,Asian,"Single, never married",Employed for wages,Yes,More than a month,A little,3,4,5,1,5,2,4,4,5,4,5,5,5,5,5,More than 3 years,"RPG, Strategy",Almost every week,2-3 hours,1. Everyday,Interacting with others,Imperial,2,2,2,2,2,5,5,5,5,3,1,4,1,2,2,2,2,3,2,2,3,2,2,3,3,3,3,3,5,3,4,5,5,5,2,3,2,4,2,5,5,5,5,1,3,4,5,5,3,2,2,1,5,5,5,5,1,5,1,1
usa,US/Canada,Male,Undergraduate school,Both,26,White,"Single, never married",Employed for wages,Yes,More than 3 weeks,Very worried,4,3,4,1,4,3,3,2,5,2,4,3,4,2,5,More than 3 years,"Action, Adventure, Simulation, Strategy, Sports",Everyday,3-4 hours,1. Everyday,Catching bugs,na,4,3,3,4,3,4,5,4,3,3,4,3,4,3,3,4,4,3,3,3,4,3,4,3,3,4,4,3,4,4,3,3,4,3,3,5,2,4,4,3,4,5,5,4,3,4,4,4,3,3,4,4,3,3,4,3,3,4,4,4
usa,US/Canada,Male,Undergraduate school,Both,26,White,"Single, never married",Employed for wages,No,7 days,Very worried,4,2,5,2,3,2,5,1,4,3,4,1,4,2,5,1-2 years,"Adventure, RPG, Simulation, Strategy, Sports",Every week,3-4 hours,3. Every week,Planting trees/flowers,hill,3,4,4,4,4,4,4,4,5,3,3,4,4,3,4,3,3,3,4,4,3,3,4,4,4,3,3,4,5,4,3,4,4,5,3,3,4,4,4,5,4,3,4,5,5,4,3,4,4,4,5,4,4,5,4,3,4,5,4,4
Vietnam,Asia,Female,High school,A pet,27,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Very worried,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,More than 3 years,"RPG, Simulation, Strategy, FPS",Every week,1-2 hours,2. Almost everyday,Terraforming,Country,2,3,3,4,2,5,3,4,4,4,3,4,1,2,4,3,2,2,3,4,3,4,2,1,2,3,4,4,5,4,3,4,4,5,1,1,2,1,1,2,2,4,3,1,5,5,5,5,3,1,1,1,2,3,3,3,1,4,1,1
Viet Nam,Asia,Male,Graduate school and higher,Both,27,Asian,Married or domestic partnership,Employed for wages,Yes,More than a month,Very worried,4,3,4,3,4,1,4,4,4,4,5,1,3,3,4,More than 3 years,"Action, Adventure",Everyday,3-4 hours,1. Everyday,Terraforming,Japaneses,2,4,2,4,3,5,5,5,4,4,2,4,1,2,3,4,4,2,2,3,2,2,1,2,4,4,1,4,5,5,2,5,4,5,1,5,1,5,1,5,3,5,5,1,4,5,5,5,3,1,1,1,2,2,5,5,1,5,1,1
Hong Kong,Asia,Male,Undergraduate school,A pet,27,Asian,"Single, never married",Employed for wages,Yes,More than a month,A little,4,3,4,3,4,2,4,4,4,4,4,3,4,3,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Everyday,3-4 hours,Once in a while. Dont play as much anymore.,Fishing,Not terraforming yet,4,4,3,2,3,4,4,4,4,4,2,3,2,2,3,4,3,2,2,2,2,2,2,3,4,4,4,4,4,1,2,4,3,4,1,2,2,2,1,3,2,3,3,3,2,4,4,3,3,2,2,2,2,2,2,2,2,3,1,1
TAIWAN,Asia,Male,Undergraduate school,Both,27,Asian,"Single, never married",Employed for wages,Yes,More than a week,A little,4,2,5,1,4,3,4,1,4,1,4,2,5,2,4,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3-4 hours,3. Every week,Planting trees/flowers,hilly area,3,3,4,3,3,4,4,5,5,3,3,4,3,3,2,3,3,4,3,3,3,4,4,3,3,3,4,3,4,4,4,5,5,4,3,4,4,4,3,5,3,3,3,4,4,4,3,3,3,5,4,4,3,3,3,4,4,4,4,4
usa,US/Canada,Male,Undergraduate school,Both,27,Black or African American,Married or domestic partnership,Employed for wages,Yes,More than 3 weeks,Worried,4,2,5,2,3,2,4,1,4,3,4,3,2,2,5,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3-4 hours,2. Almost everyday,Planting trees/flowers,fields on a hill,3,3,3,4,3,4,4,4,5,3,3,3,4,4,3,3,3,4,4,3,3,3,4,3,4,3,3,3,4,3,4,4,5,5,5,4,3,2,3,3,4,4,4,5,4,4,3,4,5,4,4,3,3,3,4,4,5,4,4,4
United States,US/Canada,Male,High school,A pet,27,White,"Single, never married",Out of work and looking for work,No,More than 2 weeks,Worried,2,2,3,2,2,2,5,2,4,3,5,2,5,2,3,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,1-2 hours,3. Every week,Planting trees/flowers,The jungle model,2,3,3,4,3,4,3,5,4,3,4,1,3,2,3,2,2,4,3,3,2,3,4,3,3,4,3,2,4,5,3,4,3,5,2,4,2,5,3,4,4,5,3,2,4,5,4,5,4,3,3,5,4,5,4,3,5,4,2,3
usa,US/Canada,Male,Undergraduate school,Both,27,Black or African American,Widowed,Employed for wages,Yes,More than 2 weeks,Worried,4,2,5,2,3,2,4,1,4,3,4,2,5,2,4,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,2-3 hours,2. Almost everyday,Fishing,none,4,3,3,3,4,4,4,4,5,3,2,3,3,4,3,3,3,4,3,3,3,3,4,3,3,2,3,3,4,5,5,5,4,3,4,4,5,4,3,4,4,5,4,3,3,4,3,4,4,4,4,5,3,4,4,4,5,4,4,4
us,US/Canada,Female,Undergraduate school,None,27,White,Married or domestic partnership,Employed for wages,No,More than 2 weeks,Worried,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1-2 years,NA,Everyday,1-2 hours,2. Almost everyday,Planting trees/flowers,various | multiple | diversiform | manif...,2,2,3,2,2,2,2,3,3,2,2,2,2,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,3,2,3,3,3,2,2,3,3,3,2,2,3,3,3,3,2,2,3,3,3,2,3,3
U.S.,US/Canada,Male,Undergraduate school,A pet,27,White,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Very worried,4,3,4,3,3,3,3,2,2,3,3,2,4,4,3,2-3 years,"Action, RPG",Every week,2-3 hours,3. Every week,Fishing,through,2,1,3,3,3,2,3,2,4,2,3,2,2,2,2,3,3,2,3,2,3,3,1,2,3,2,1,2,4,3,4,4,4,5,2,2,2,4,1,4,4,4,5,3,4,3,5,4,3,1,1,1,2,4,4,3,1,2,4,4
USA,US/Canada,Male,Undergraduate school,Both,27,White,Married or domestic partnership,Self-employed,Yes,More than a month,Worried,5,2,3,1,4,1,3,1,4,1,3,3,2,1,4,More than 3 years,"Adventure, Simulation, Strategy",Everyday,1-2 hours,1. Everyday,Planting trees/flowers,Planting trees/flowers,2,3,4,3,3,4,3,5,5,3,2,3,2,3,4,4,2,3,3,4,4,3,2,3,2,3,2,3,3,4,3,5,4,3,2,3,1,5,2,3,4,5,1,4,3,4,3,5,4,1,1,2,1,4,4,5,1,4,2,1
America,US/Canada,Female,Undergraduate school,Both,27,White,"Single, never married",Out of work and looking for work,Yes,More than a month,Very worried,3,2,3,4,3,2,3,1,3,2,4,3,5,1,5,1-2 years,"Action, RPG",Almost everyday,1-2 hours,3. Every week,Fishing,Animation finishing,3,2,1,3,3,3,2,2,3,1,2,2,1,3,2,3,1,2,1,2,3,2,3,1,2,2,3,4,3,2,3,3,4,2,2,3,2,3,3,3,2,3,4,2,2,3,2,3,4,2,2,1,1,3,2,3,3,4,2,3
